additionalInfo,address,city,description,district,flatFloor,floorsCount,house,price,remoteness,remotenessType,roomsNumber,squareKitchen,squareLive,squareTotal,street,underground 
,"Москва, район Хамовники, ул. Усачева, 2С1",Москва,"Номер объекта: 012442. Предлагается великолепная 3-х комнатная квартира в элитном доме бизнес класса. Функциональная планировка: гостиная совмещенная со столовой зоной, кухня, спальня с ванной комнатой и гардеробной. кабинет (можно оборудовать под спальню), второй с/у с душевой кабиной, лоджия, просторный холл с гардеробной комнатой. Комплекс Премиум класса напротив парка Усадьбы Трубецких в Хамовниках. Квартира меблирована антикварной мебелью по индивидуальному проекту. В квартире установлена система приточно-вытяжной вентиляции и очистки воздуха с функцией увлажнения. Окна спальни выходят на парк Усадьба Трубецких, остальные окна квартиры с видом на Москва Сити. 1 м/место в подземном паркинге! Свободная продажа! Богатая развитая инфраструктура района.",район Хамовники,5,11,д.2С1,211 922 340,,,3,,,142,ул. Усачева,м. Фрунзенская
,,,,,,,,,,,,,,,,
,"Москва, район Тропарево-Никулино, просп. Вернадского, 94к1",Москва,"Номер объекта: ЮЗ0022. Светлая, хорошо спланированная квартира с прекрасными видами",район Тропарево-Никулино,20,37,д.94к1,90 000 000,,,3,,,"134,7",просп. Вернадского,м. Юго-Западная
,"Москва, район Хамовники, пер. Коробейников, 1",Москва,"Номер объекта: ОС0094. Превосходная квартира площадью 233 кв.м с функциональной планировкой занимает весь этаж ЖК Кристалл Хаус. Дизайн и планировочное решение квартиры были разработаны известным архитектурным бюро. Рациональная планировка включает в себя кухню-столовую, две детские комнаты каждая со своей ванной комнатой, кабинет, master-bedroom с большой ванной комнатой и гардеробной, при входе расположена вместительная гардеробная и комната для хозяйственных нужд. Прекрасным продолжением квартиры является красивая терраса с гранитным противоскользящим настилом. Вид из квартиры на две стороны. В паркинге есть своя комната для водителей, есть возможность приобрести три машиноместа за доп. стоимость.",район Хамовники,3,6,д.1,328 954 080,,,5,,,223,пер. Коробейников,м. Парк Культуры
,"Москва, район Якиманка, ул. Серафимовича, 2",Москва,"Номер объекта: 012440. Предлагается 4-х комнатная квартира с панорамными видами на Кремль, Набережную Москвы-реки, исторический центр Москвы. Квартира просторная и светлая. Функциональная планировка : Кухня и гостиная раздельные, 3 изолированные спальни, два санузла, две террасы. Отделка выполнена в светлых тонах, кондиционирование. На придомовой территории внутренний двор с детской площадкой. Парковочные места предусмотрены. Осуществляется круглосуточная охрана подъездов и видеонаблюдение. Консьерж. Богатая инфраструктура района.",район Якиманка,5,11,д.2,126 520 800,,,4,,,141,ул. Серафимовича,м. Кропоткинская
,"Москва, район Хамовники, Мансуровский пер., 5",Москва,"Номер объекта: 012346. Предлагается прекрасная квартира площадью 189 м2. в современном доме на Мансуровском переулке. В квартире выполнена высококачественная отделка по индивидуальному дизайн проекту. Кухня-гостиная, 2 спальни, 2 с/у, просторный холл. Большое количество окон делает квартиру особенно светлой. В стоимость входит парковочное место на подземном паркинге. На облагороженной придомовой территории расположена детская площадка. Очень развитая инфраструктура.",район Хамовники,2,6,д.5,110 000 000,,,3,,,189,Мансуровский пер.,м. Парк Культуры
,"Москва, район Пресненский, Зоологическая ул., 28С2",Москва,"Номер объекта: КП0138. Просторная 4-х комнатная квартира с отделкой и мебелью. Удобная планировка. 3 спальни, 2 с/у. Прекрасные виды из окон.",район Пресненский,7,20,д.28С2,63 690 571,,,4,,,"167,8",Зоологическая ул.,м. Баррикадная
,"Москва, район Пресненский, ул. Сергея Макеева, 9",Москва,"Номер объекта: 012329. В современном ЖК Red Side предлагается блок квартир общей площадью 164 кв.м Этаж 17/21. Свободная планировка, без отделки. Высокие потолки. Панорамные окна. Две большие лоджии. Из окон квартиры открываются великолепные виды на панораму Москвы.",район Пресненский,17,21,д.9,78 692 000,,,4,,,164,ул. Сергея Макеева,м. Улица 1905 года
,"Москва, район Пресненский, Малая Никитская ул., 15",Москва,"Номер объекта: 012398. Квартира в одном из лучших домов Москвы! Квартира свободной планировки, где по проекту могут разместить 3 спальни, кабинет гостиная-столовая, кухня, 3 с/у, а также несколько кладовых и гардеробных. Из окон открывается виды на зеленый сквер, МИД и на Малую Никитскую.Дом с французскими панорамными окнами, обходной галереей, эркерами и эксклюзивной отделкой площадей общего пользования. На боковых и задних фасадах использован вентилируемый фасад с устройством каменной кладки из мраморизованного кирпича Franken-Schotter на подсистеме Halfen.",район Пресненский,2,7,д.15,542 000 000,,,4,,,250,Малая Никитская ул.,м. Баррикадная
,"Москва, район Якиманка, ул. Серафимовича, 2",Москва,Номер объекта: 012400.,район Якиманка,8,11,д.2,120 000 000,,,4,,,120,ул. Серафимовича,м. Кропоткинская
,"Москва, район Хамовники, Бутиковский пер., 5",Москва,"Номер объекта: ОС0001. Четырехкомнатная квартира 275 кв.м с дорогой отделкой в европейском стиле. Гостиная-столовая с галерейным освещением более 100 кв.м, 2 спальни, кабинет, 2 гардеробных комнаты, постирочная, 3 санузла, лоджия. В квартире дубовый ""инжиниринговый"" паркет, немецкая сантехника, кухня Bulthaup, кухонная техника Gaggenau. Из окон, выходящих на три стороны света, открываются прекрасные виды.",район Хамовники,3,6,д.5,442 822 800,,,4,,,275,Бутиковский пер.,м. Парк Культуры
,"Москва, район Арбат, Малый Новопесковский пер., 8",Москва,"Номер объекта: СМ0037. Очень светлая квартира с отделкой в современном стиле. В отделке использованы дорогостоящие материалы, в том числе натуральные. Спланировано: кухня-столовая-гостиная, 2 спальни, кабинет без окна, гардеробная, 2 с/у",район Арбат,2,14,д.8,211 922 340,,,4,,,"183,7",Малый Новопесковский пер.,м. Смоленская
,,,,,,,,,,,,,,,,
,"Москва, район Хамовники, Бутиковский пер., 5",Москва,"Номер объекта: 012059. В современном малоквартирном жилом комплексе, расположенном в районе Золотой мили, предлагается двухуровневый пентхаус без отделки, свободной планировки. Высокие потолки. Панорамное остекление. Терраса. Внутреннее пространство пентхауса позволяет спланировать: большую гостную, кухню, столовую, кабинет, 3-4 спальни. Кол-во стояков - 4.",район Хамовники,6,6,д.5,613 625 880,,,,,,380,Бутиковский пер.,м. Парк Культуры
,"Москва, район Раменки, ул. Пудовкина, 7А",Москва,"Номер объекта: 012017. Предлагается на продажу новая, 2-х комнатная квартира, в ЖК бизнес-класса Обыкновенное Чудо. В квартире выполнен дизайнерский ремонт, по проекту ведущего бюро, после ремонта никто не жил. Просторный холл с гардеробной, гостевой с/у, кухня-столовая, лоджия выходящая как на кухню, так и в изолированную гостиную, а также полностью автономная спальня со своим с/у и просторной гардеробной. Из окон квартиры открывается панорамный вид в сторону парка Воробьевы Горы и здания МГУ",район Раменки,15,17,д.7А,39 980 000,,,2,,,85,ул. Пудовкина,м. Кутузовская
,"Москва, район Пресненский, Малая Бронная ул., 22С1",Москва,"Номер объекта: 012326. Предлагается на продажу шикарная квартира площадью 86,4 м2 в историческом малоквартирном доме на Малой Бронной.Есть уникальная возможность возможность свободно распланировать внутреннее пространство квартиры. Ж/б перекрытия (реконструкция 1986 года), толстые стены (0,85м). В доме новый лифт и просторные холлы. Из высоких окон открываются виды в тихий двор и на улицу.2 комнаты смежные, 2 изолированные, кухня, 2 с/у, ванная комната. Высота потолков 3,2м.Станции метро Пушкинская и Тверская расположены в пяти минутах ходьбы от дома. На огороженной территории закреплено одно парковочное место.Малая Бронная 22с1 - это не просто жилой дом, а часть истории Москвы, объект культурного наследия.",район Пресненский,6,6,д.22С1,60 000 000,,,3,,,86,Малая Бронная ул.,м. Маяковская
,"Москва, район Раменки, Минская ул., 1ГК1",Москва,"Номер объекта: ЗА0326. Двусторонняя светлая квартира с хорошими видами во двор и на лесной массив. Кухня-гостиная, 3 спальни, кабинет, 3 с/у",район Раменки,12,22,д.1ГК1,56 500 000,,,5,,,190,Минская ул.,м. Славянский бульвар
,"Москва, район Некрасовка, Люберецкие Поля мкр, 13-й кв-л, к7",Москва,"Возможна Ипотека,рассрочка, материнский капитал, субсидия. Индивидуальные скидки. Московская прописка. Открытие станции метро ""Некрасовка"" в 2018 году. В квартире произведена черновая отделка (Ровные стены, электропроводка по квартире, установлена ванна, сантехнические трубы подведены, счетчики горячей и холодной воды, батареи с терморегуляторами, пластиковые стеклопакеты). Во дворе оборудованы детские площадки и спортивные зоны. В районе присутствует вся необходимая инфраструктура: детские сады, школы, поликлиники, спортивные площадки, супермаркеты.",район Некрасовка,4,17,13-й кв-л,5 299 434,20,на машине,2,"9,9","30,7","51,7",Люберецкие Поля мкр,м. Выхино
,"Москва, район Хамовники, Бутиковский пер., 3",Москва,"Номер объекта: ОС0213. Предлагается светлая квартира площадью 204 кв.м. в ЖК Купер Хаус. Квартира ориентирована на 3 стороны света и имеет 14 окон и 3 стояка, что позволяет грамотно спланировать пространство и реализовать все самые смелые дизайнерские решения.",район Хамовники,3,6,д.3,314 089 600,,,4,,,204,Бутиковский пер.,м. Парк Культуры
,"Москва, район Тверской, Большой Гнездниковский пер., 10",Москва,"БЕЗ КОМИССИИ для покупателя. Предлагаются апартаменты в первом столичном небоскрёбе - легендарном ""Доме Нирнзее"". Внушительная площадь комнаты позволит удобно разделить ее на функциональные зоны в соответствии с вашими потребностями. За порядком в подъезде следит консьерж. Великолепное расположение: рядом Тверской бульвар и Патриаршие пруды, сады Аквариум и Эрмитаж, театры Пушкинский и Ленком, Станиславского и Немировича-Данченко, разнообразные бутики и рестораны, чуть дальше - Красная и Театральная площади. В пешей доступности работают станции нескольких линий метро. Удобный выезд на Тверскую и Садовое кольцо.",район Тверской,2,9,д.10,13 000 000,2,пешком,1,3,"35,6","41,9",Большой Гнездниковский пер.,м. Пушкинская
,"Москва, район Тверской, Большая Грузинская ул., 69",Москва,"Номер объекта: ТВ0102. Светлая, угловая, просторная квартира. Возможно спланировать гостиную-кухню-столовую, 2 спальни и даже кабинет. В квартире большие площади остекления, 2 стояка. Квартира обращена в сторону 2 Брестской улицы и внутреннего двора.",район Тверской,7,11,д.69,108 554 846,,,2,,,132,Большая Грузинская ул.,м. Белорусская
,"Москва, район Сокол, ул. Врубеля, 8",Москва,"Номер объекта: СЕ0019. Квартира с дорогим дизайнерским ремонтом. Кухня, просторная гостиная, 3 спальни, 3 с/у, 3 застекленных утепленных балкона",район Сокол,3,30,д.8,75 912 480,,,4,,,150,ул. Врубеля,м. Сокол
,"Москва, район Раменки, Мосфильмовская ул., 8",Москва,"Номер объекта: ЗА0298. Предлагается квартира без отделки, свободной планировки площадью 138 кв.м, расположена на 12-м этаже ЖК Мосфильмовская 8. Отличные видовые характеристики, из окон квартиры открываются панорамные виды на город.К услугам жильцов комплекса подземный паркинг, современные системы кондиционирования и очистки воды, детская площадка. Вся придомовая территория ЖК ""Мосфильмовская 8"" круглосуточно охраняется и оборудована системами видеонаблюдения. На территории комплекса предусмотрено обустройство мест для отдыха детей и взрослых, детские площадки, открытый гостевой паркинг.",район Раменки,12,50,д.8,70 000 000,,,3,,,140,Мосфильмовская ул.,м. Парк Победы
,"Москва, район Тверской, Большая Грузинская ул., 69",Москва,"Номер объекта: ТВ0089. Просторная, светлая, двусторонняя квартира, обращенная в сторону 1-Брестской улицы внутреннего двора, над фитнес клубом. Большие площади остекления и наличие 2 стояков предоставляют широкие возможности пранировочных решений квартиры.",район Тверской,4,11,д.69,108 554 846,,,3,,,132,Большая Грузинская ул.,м. Белорусская
,"Москва, район Хамовники, ул. Бурденко, 3",Москва,Номер объекта: ПЛ0105.СПЕЦПРЕДЛОЖЕНИЕ! СНИЖЕНИЕ ЦЕНЫ! Светлая двусторонняя квартира без отделки свободной планировки общей площадью 170 кв.м. Квартира расположена в 11-ти этажной секции 2. Возможно спланировать четыре комнаты. Спальни ориентированы в тихий двор. Собственность менее 3-х лет.,район Хамовники,4,10,д.3,132 846 840,,,4,,,"160,5",ул. Бурденко,м. Парк Культуры
,"Москва, район Раменки, Мосфильмовская ул., 70к1",Москва,"Номер объекта: ЮЗ0001. Видовая четырехкомнатная квартира с качественным ремонтом и мебелью в ЖК ""Воробьевы горы"". Грамотно спланированная планировка включает в себя функциональную и просторную зону гостиной-столовой-кабинета, master-bedroom со своим с/у и гардеробной с видом на зеленую зону Матвеевского леса, зону детской с двумя спальнями и с/у, изолированную кухню, постирочную комнату. В каждой комнате встроенные шкафы. Квартира оснащена системами кондиционирования и приточно - вытяжной вентиляции. Просторная гостиная с камином располагает к совместному семейному отдыху, панорамные окна столовой с широкими мраморными подоконниками позволяют наслаждаться видами города. Тройная системы охраны (наружный периметр комплекса, в подъезде дома, видеонаблюдение в квартире, вневедомственная охрана,) обеспечивает максимальную безопасность. ЖК ""Воробьевы Горы"" - уникальный жилой комплекс, располагающий обширной внутренней территорией и развитой инфраструктурой - консьерж-сервис, фитнесс- центр с бассейном, салоны красоты, супермаркет, химчистки, детский развивающий центр, наличие развитой инфраструктуры вокруг, зеленая зона с прудом. М/м предлагается к продаже или аренде",район Раменки,27,48,д.70к1,90 000 000,,,4,,,"188,2",Мосфильмовская ул.,м. Университет
,"Москва, район Арбат, Борисоглебский пер., 13С3",Москва,Номер объекта: 012220.,район Арбат,3,5,д.13С3,381 460 212,,,5,,,"241,2",Борисоглебский пер.,м. Баррикадная
,"Москва, район Хамовники, 2-я Фрунзенская ул., 8",Москва,"Номер объекта: Ф0138. Предлагается квартира площадью 171,6 кв.м. расположенная на 7 этаже комплекса Андреевский дом. Без отделки свободной планировки",район Хамовники,7,12,д.8,193 434 488,,,4,,,"171,6",2-я Фрунзенская ул.,м. Фрунзенская
,"Москва, район Якиманка, Якиманский пер., 6",Москва,"Номер объекта: 012063. Предлагается 4-х комнатная квартира в ЖК Имперский дом. Панорамное остекление. Высокие потолки. Великолепные виды из окон. Внутреннее пространство квартиры позволяет спланировать гостиную, кухню, столовую, 2 -3 спальни.",район Якиманка,7,19,д.6,320 000 000,,,4,,,"258,7",Якиманский пер.,м. Октябрьская
,"Москва, район Раменки, Мосфильмовская ул., 8",Москва,"Номер объекта: 012158. В ЖК ""Дом на Мосфильмовской"" предлагается на продажу уникальная квартира с зимним садом общей площадью 295.7 м2. Квартира без отделки, со свободной планировкой. Есть возможность сделать 7 изолированных комнат, гостиную-кухню. Из панорамных окон квартиры открываются прекрасные виды на Природный заказник Долина реки Сетунь, МГУ, Матвеевский лес, гольф-клуб, Кутузовский проспект, Москва-сити, Лужники, на центральную часть столицы, Поклонную гору. Большой выбор свободных парковочных мест в подземном паргинге.ЖК ""Дом на Мосфильмовской"" - уникальный небоскреб, расположенный в одном из самых респектабельных и экологически чистых районов Москвы недалеко от Воробьевых гор.",район Раменки,28,50,д.8,205 767 103,,,,,,"295,7",Мосфильмовская ул.,м. Парк Победы
,,,,,,,,,,,,,,,,
,"Москва, район Раменки, Мосфильмовская ул., 8",Москва,"Номер объекта: 012138. В ЖК ""Дом на Мосфильмовской"" предлагается на продажу квартира общей площадью 151,8 м2. Квартира без отделки, со свободной планировкой. Есть возможность сделать 4 изолированные комнаты, гостиную-кухню. Из окон квартиры открываются шикарные виды на гольф-клуб и центральную часть Москвы. Большой выбор свободных парковочных мест в подземном паргинге. ЖК ""Дом на Мосфильмовской"" - уникальный небоскреб, расположенный в одном из самых респектабельных и экологически чистых районов Москвы недалеко от Воробьевых гор.",район Раменки,5,50,д.8,43 000 000,,,4,,,"151,8",Мосфильмовская ул.,м. Парк Победы
,"Москва, район Раменки, Мосфильмовская ул., 8",Москва,"Номер объекта: 012145. В ЖК ""Дом на Мосфильмовской"" предлагается на продажу квартира общей площадью 103,7 м2. Квартира без отделки, со свободной планировкой. Есть возможность сделать 2 изолированные комнаты, гостиную-кухню. Из окон квартиры открываются шикарные виды на центральную часть столицы и на деловой центр Москва - Сити. Большой выбор свободных парковочных мест в подземном паргинге. ЖК ""Дом на Мосфильмовской"" - уникальный небоскреб, расположенный в одном из самых респектабельных и экологически чистых районов Москвы недалеко от Воробьевых гор.",район Раменки,43,50,д.8,58 600 000,,,3,,,"103,7",Мосфильмовская ул.,м. Парк Победы
,"Москва, район Раменки, Мосфильмовская ул., 8",Москва,"Номер объекта: 012155. В ЖК ""Дом на Мосфильмовской"" предлагается на продажу квартира общей площадью 123,5 м2. Квартира без отделки, со свободной планировкой. Есть возможность сделать 3 изолированные комнаты, гостиную-кухню. Из окон квартиры открываются шикарные виды на международный деловой центр Москва - Сити и на гольф-клуб. Большой выбор свободных парковочных мест в подземном паргинге. ЖК ""Дом на Мосфильмовской"" - уникальный небоскреб, расположенный в одном из самых респектабельных и экологически чистых районов Москвы недалеко от Воробьевых гор.",район Раменки,25,50,д.8,55 000 000,,,4,,,"123,5",Мосфильмовская ул.,м. Парк Победы
,"Москва, район Раменки, Мосфильмовская ул., 8",Москва,"Номер объекта: 012132. В ЖК ""Дом на Мосфильмовской"" предлагается на продажу квартира общей площадью 155,5 м2. Квартира без отделки, со свободной планировкой. Есть возможность сделать 3 изолированные комнаты, гостиную-кухню. Из окон квартиры открываются шикарные виды на гольф-клуб. Большой выбор свободных парковочных мест в подземном паргинге. ЖК ""Дом на Мосфильмовской"" - уникальный небоскреб, расположенный в одном из самых респектабельных и экологически чистых районов Москвы недалеко от Воробьевых гор.",район Раменки,26,50,д.8,87 000 000,,,4,,,"155,5",Мосфильмовская ул.,м. Парк Победы
,"Москва, район Раменки, Мосфильмовская ул., 8",Москва,"Номер объекта: 012141. В ЖК ""Дом на Мосфильмовской"" предлагается на продажу квартира общей площадью 107 м2. Квартира без отделки, со свободной планировкой. Есть возможность сделать 2 изолированные комнаты, гостиную-кухню. Из окон квартиры открываются шикарные виды на Центральную часть Москвы. Большой выбор свободных парковочных мест в подземном паргинге. ЖК ""Дом на Мосфильмовской"" - уникальный небоскреб, расположенный в одном из самых респектабельных и экологически чистых районов Москвы недалеко от Воробьевых гор.",район Раменки,6,50,д.8,31 500 000,,,3,,,107,Мосфильмовская ул.,м. Парк Победы
,"Москва, район Басманный, Покровский бул., 5С1",Москва,"Номер объекта: 012286. Предлагается квартира в ЖК Резиденция на Покровском бульваре, 140,1 кв.м , без отделки.",район Басманный,2,7,д.5С1,24 692 500,,,1,,,"58,1",Покровский бул.,м. Чкаловская
,"Москва, район Басманный, Покровский бул., 5С1",Москва,"Роскошные апартаменты в ЖК ""Резиденция на Покровском бульваре"" - это приватный уголок самом сердце Столицы! Предлагаются 1-комнатные апартаменты в клубном доме с уникальной архитектурой общей площадью 58.1 кв. м, расположенные на 2 этаже с видом на Казарменный переулок. Свободная планировка - исключительная возможность воплотить в жизнь все свои идеи! Предлагаемым планировочным решением предусмотрены спальня 18.5 кв. м с индивидуальной гардеробной комнатой 5.9 кв. м, большая кухня 19.7 кв. м, ванная комната 6.5 кв. м. Из окон открывается чудесный вид на Казарменный переулок! ЖК ""Резиденция на Покровском бульваре"" - роскошный комплекс апартаментов премиум-класса. Элегантное здание, спроектированное по мотивам австрийского и германского югендстиля, выходит фасадами на две улицы - Покровский бульвар и Казарменный переулок. Архитекторы предложили прекрасную интерпретацию форм прошлых столетий в русле современной архитектуры с ее новыми материалами и технологиями. Основное зрительное восприятие здания приходится на угловую часть фасада, имеющую плавные скругленные формы и богатый декор по верхнему поясу. Венчают изысканный фасад скульптуры сов, символизирующие мудрость и проницательность. Два подземных уровня в Резиденции на Петровском бульваре занимает парковка, рассчитанная на 62 автомобиля. На первом этаже, кроме вестибюля, отведено место под колясочные зоны, пост консьержа и пожарной охраны. Придомовая территория будет озелена деревьями и кустарниками, будут разбиты газоны и цветники. У подъездов будут расставлены скамьи. На огражденной по периметру территории проложат тротуары и прогулочные дорожки из брусчатки. Несмотря на свое выгодное местоположение в центре Москвы немаловажным фактором является приватность и уединенность, Резиденция на Покровском бульваре скрыта от городского шума и суеты. Комфортная транспортная доступность: съезд на Садовое кольцо находится всего в 800 м. Рядом проходят Покровский бульвар и улица Покровка, несколько станций метро. Инфраструкту",район Басманный,2,7,д.5С1,22 223 000,15,пешком,1,"19,7","18,5","58,1",Покровский бул.,м. Курская
,"Москва, район Басманный, Покровский бул., 5С1",Москва,"Номер объекта: 012284. Предлагается трехкомнатная квартира 140,1 кв.м., в ЖК Резиденция на Покровском бульваре, без отделки.",район Басманный,2,7,д.5С1,58 982 100,,,3,,,"140,1",Покровский бул.,м. Чкаловская
,"Москва, район Хамовники, Сеченовский пер., 2",Москва,"Номер объекта: ОС0218. Шикарная видовая двухуровневая квартира с дизайнерским ремонтом от Филиппа Старка. 1 уровень: выделены зоны отдыха, столовой, кухни, санузел, кабинет с видом на Храм Христа Спасителя, Зачатьевский монастырь, Кремль. Отдельный блок для персонала 40 кв.м с собственным входом. 2 уровень: спальня с действующим камином и выходом на террасу с панорамными видами, гардеробная, санузел. Машиноместо включено в стоимость.",район Хамовники,4,7,д.2,177 129 120,,,3,,,231,Сеченовский пер.,м. Парк Культуры
,"Москва, район Пресненский, Трехпрудный пер., 11/13С2",Москва,"Лот: 15649 Предлагается 4-комнатная квартира на 3 этаже кирпичного дома в районе Патриаршие пруды. Внутреннее пространство выдержано в классическом стиле. В отделке использовались высококачественные материалы. Планировка включает кухню-столовую-гостиную, три спальни и две ванные комнаты. За квартирой закреплено два машиноместа на огороженной территории. Внутренний двор закрыт для посторонних и благоустроен. В подъезде работает консьерж.",район Пресненский,3,5,д.11/13С2,85 000 000,10,пешком,4,,,136,Трехпрудный пер.,м. Маяковская
,"Москва, район Некрасовка, ул. Вертолетчиков, 13",Москва,"СОБСТВЕННОСТЬ ОФОРМЛЕНА. ТОРГ. ВЗАИМОЗАЧЕТ Продается однокомнатная квартира в г. Москва, ЮВАО, район Некрасовка, Люберецкие поля аэрации, кв. 11, к. 8, на 14 этаже, площадь 39.3 кв.м. ОДИН СОБСТВЕННИК. СВОБОДНАЯ ПРОДАЖА.. Квартира класса ""комфорт"" с ЧИСТОВОЙ ОТДЕЛКОЙ с максимально функциональной современной планировкой, просторной кухней, застекленными балконом и эркером. Подъезд чистый, 2 лифта (грузовой и пассажирский). Высота потолков 2,75 м. КВАРТИРА ПОДГОТОВЛЕНА ПОД РЕМОНТ (все несущие перегородки установлены, медная электропроводка разведена по всей квартире, установлены розетки и выключатели, отопительные радиаторы, остеклена лоджия. Ванная установлена, в ванной комнате - деревянная дверь, полотенцесушитель из нержавейки, плитка на полу и стене, в туалете - деревянная дверь, плитка на полу, счетчики учета водоснабжения. Есть домофон, пожарная сигнализация установлена, входная дверь - деревянная. Электросчетчик трехтарифный, в общем коридоре. Окна и балконная дверь из ПВХ-профилей с двухкамерными стеклопакетами. МОСКОВСКАЯ ПРОПИСКА. ОФОРМЛЕНИЕ ВХОДИТ В СТОИМОСТЬ КВАРТИРЫ. Рядом - Люберецкий район с озерами - прекрасное место для прогулок в любое время года. Строится поликлиника. В 5-10 минут езды находятся ""Мега-Белая Дача"", Ашан, Метро, Реал, OBI. Социально благополучные соседи. Ипотека без первоначального взноса. ПЕШКОМ ДО МЕТРО ""НЕКРАСОВКА"" Показы ежедневно с 9.00 до 20.00. СУБСИДИРОВАННАЯ ИПОТЕКА. ИНДИВИДУАЛЬНЫЕ СКИДКИ",район Некрасовка,14,25,д.13,4 669 081,20,на машине,1,,,"39,3",ул. Вертолетчиков,м. Выхино
,"Москва, район Хорошево-Мневники, просп. Маршала Жукова, 43к5",Москва,"Номер объекта: 012538. Предлагается шикарная квартира площадью 127.5 м2 в ЖК Wellton Park. В Квартире выполнен высококачественный дизайнерский ремонт из дорогостоящих материалов в классическом стиле. Расположенно: гостиная, просторная кухня-столовая, 2 спальни, кабинет, три санузла, постирочная, гардеробная комната, балкон. Облагороженная придомовая территория. Современные входные группы. Из окон открываются прекрасные виды на Карамышевскую набережную. Двухуровневый подземный паркинг, в собственности одно м/м, есть возможность приобрести больше. Очень развитая инфраструктура.",район Хорошево-Мневники,11,32,д.43к5,55 000 000,,,4,,,"127,5",просп. Маршала Жукова,м. Октябрьское поле
,"Москва, район Замоскворечье, Шлюзовая наб., 2А",Москва,"Номер объекта: 012296. Предлагается 3-х квартира без отделки 87,20 кв.м на 7 этаже в новостройке в районе Замоскворечья. Окна выходят во двор .",район Замоскворечье,7,7,д.2А,42 439 193,,,3,,,"87,2",Шлюзовая наб.,м. Павелецкая
,"Москва, район Замоскворечье, Шлюзовая наб., 2А",Москва,Номер объекта: 012288. Предлагается апартамент без отделки 43.5 кв.м на 3 этаже в новостройке в районе Замоскворечья. Окна выходят на Кожевнический проезд . Апартамент продается с двумя балконами и он расположен на Юго-Восточной стороне.,район Замоскворечье,3,7,д.2А,16 178 497,,,1,,,"43,5",Шлюзовая наб.,м. Павелецкая
,"Москва, район Замоскворечье, Кожевнический проезд, 4",Москва,"Жилой квартал I&#039;M - это новый проект премиум-класса. Дом СДАН! Выдаем ключи! Эксклюзивный объем. Лучшие условия для приобретения от VSN Realty! Вашему вниманию предлагается однокомнатная квартира, общей площадью - 39.2 кв. м. Все окна в жилом квартале IM панорамные высотой 2,25 метра с французскими балконами. Они впустят больше света в интерьеры жилого квартала и визуально увеличат внутреннее пространство, а также предоставят неограниченные возможности для создания разнообразных интерьерных решений! Жилой квартал расположен в деловом кластере Москвы в трех минутах от Садового кольца. Два элегантных 6 и 7-этажных строения гармонично вписаны в историческую застройку Замоскворечья. Жилой квартал IM создан для Вас харизматичных, целеустремленных и успешных, для нового поколения Москвы! В жилом квартале предусмотрена просторная внутренняя территория площадью 1 га. Голландские ландшафтные архитекторы создают в жилом квартале I&#039;M роскошный сад с зонами для активного и спокойного отдыха. Благодаря сочетанию растений, цветущих в разные периоды времени: уникальные комбинации луговых трав, цветов, парковых, садовых и хвойных деревьев. Сад будет максимально приближен к природному парку и создаст ощущение загородной жизни. Впервые в Москве жителям жилого квартала будет предложен уникальный сервис Clubhouse. Clubhouse общей площадью 250 кв. м. Здесь можно провести деловую встречу, выпить чашку кофе с партнёрами или отпраздновать семейное торжество. По периметру жилого квартала будет установлен изысканный забор высотой 4 м. Двор жилого квартала свободен от машин: все въезжающие автомобили сразу попадают на подземную парковку на 172 м/м. Удачное расположение жилого квартала IM в трех минутах от Садового кольца и десяти минутах от Кремля позволяет оставаться мобильным и быть в центре событий. Ждем Ваших звонков! Звоните!",район Замоскворечье,2,7,д.4,13 932 868,7,пешком,1,6,23,"39,2",Кожевнический проезд,м. Павелецкая
